factor_id,frequency,year,median_rank_ic,mean_rank_ic,signal_dates
XS032_GROSS_PROFIT_AT,weekly,2026,-0.02149146349525257,-0.025796570902554973,25
XS041_ASSET_GROWTH,monthly,2017,-0.019518907015018662,-0.019518907015018662,1
XS041_ASSET_GROWTH,monthly,2018,-0.005074594419452911,-0.019397701667112254,12
XS041_ASSET_GROWTH,monthly,2019,-0.03576286251818585,-0.019710204017686462,12
XS041_ASSET_GROWTH,monthly,2020,-0.029889774998350827,-0.0226708448974809,12
XS041_ASSET_GROWTH,monthly,2021,0.02434830746349171,0.008395571353182342,12
XS041_ASSET_GROWTH,monthly,2022,0.03907654740704325,0.049317142548540464,12
XS041_ASSET_GROWTH,monthly,2023,-0.001047102525607983,-0.010445098325449478,12
XS041_ASSET_GROWTH,monthly,2024,-0.013692288465077654,-0.012964356719967018,12
XS041_ASSET_GROWTH,monthly,2025,0.013269165796834603,0.022030391067104495,12
XS041_ASSET_GROWTH,monthly,2026,0.009921296534204815,-0.005712728770201781,4
XS041_ASSET_GROWTH,weekly,2017,-0.05309364142233694,-0.05309364142233694,1
XS041_ASSET_GROWTH,weekly,2018,-0.01801295746816619,-0.011676298579156532,52
XS041_ASSET_GROWTH,weekly,2019,-0.019195666229958386,-0.013651555208734104,52
XS041_ASSET_GROWTH,weekly,2020,-0.011021270493338507,-0.010779722457242293,53
XS041_ASSET_GROWTH,weekly,2021,-0.020800231646443283,-0.009383684533149464,52
XS041_ASSET_GROWTH,weekly,2022,0.03592343201328885,0.0306767765135099,52
XS041_ASSET_GROWTH,weekly,2023,-0.014007714825625472,-0.009203767195784444,52
XS041_ASSET_GROWTH,weekly,2024,-0.007661149811065193,-0.00760482915338371,52
XS041_ASSET_GROWTH,weekly,2025,-0.004225438054913217,0.007077967789701321,52
XS041_ASSET_GROWTH,weekly,2026,0.014062807719529984,0.00261835946556012,25
XS056_CFO_ACCRUALS_PT,monthly,2017,0.10503510424024157,0.10503510424024157,1
